scenario,perturbation,P_total,dP_total,P_base,P_scr,P_cpu,P_wifi,P_4g,P_5g,P_gps,P_bg_sw,P_bg_int,P_base_share,P_scr_share,P_cpu_share,P_wifi_share,P_4g_share,P_5g_share,P_gps_share,P_bg_sw_share,P_bg_int_share
video_wifi,baseline,3.003069728348237,0.0,0.4,1.558,0.4550697283482367,0.35,0.0,0.0,0.0,0.15,0.09,0.1331970404230374,0.5188024724477306,0.1515348525052518,0.1165474103701577,0.0,0.0,0.0,0.049948890158639014,0.02996933409518341
video_wifi,brightness_up,3.0600697283482368,0.05699999999999994,0.4,1.615,0.4550697283482367,0.35,0.0,0.0,0.0,0.15,0.09,0.13071597561795165,0.5277657515574797,0.14871220878808997,0.11437647866570767,0.0,0.0,0.0,0.049018490856731864,0.029411094514039116
video_wifi,brightness_down,2.9460697283482364,-0.057000000000000384,0.4,1.501,0.4550697283482367,0.35,0.0,0.0,0.0,0.15,0.09,0.13577411157347818,0.5094923536794769,0.15446672017616475,0.1188023476267934,0.0,0.0,0.0,0.05091529184005431,0.03054917510403259
video_wifi,cpu_up,3.05191518343967,0.04884545509143301,0.4,1.558,0.5039151834396696,0.35,0.0,0.0,0.0,0.15,0.09,0.13106524131813482,0.5104991149341351,0.16511441280348116,0.11468208615336796,0.0,0.0,0.0,0.049149465494300555,0.02948967929658033
video_wifi,cpu_down,2.958245813693967,-0.044823914654269714,0.4,1.558,0.41024581369396723,0.35,0.0,0.0,0.0,0.15,0.09,0.13521526782810495,0.5266634681904687,0.13867874393497157,0.11831335934959182,0.0,0.0,0.0,0.050705725435539355,0.03042343526132361
video_wifi,net_4g,3.2030697283482366,0.19999999999999973,0.4,1.558,0.4550697283482367,0.0,0.55,0.0,0.0,0.15,0.09,0.12488020365584504,0.4864083932395164,0.14207300088434469,0.0,0.17171028002678693,0.0,0.0,0.04683007637094189,0.02809804582256513
video_wifi,net_5g,3.4030697283482367,0.3999999999999999,0.4,1.558,0.4550697283482367,0.0,0.0,0.75,0.0,0.15,0.09,0.1175409356640335,0.45782194441141044,0.13372330415607322,0.0,0.0,0.2203892543700628,0.0,0.04407785087401255,0.026446710524407533
video_wifi,gps_on,3.4030697283482367,0.3999999999999999,0.4,1.558,0.4550697283482367,0.35,0.0,0.0,0.4,0.15,0.09,0.1175409356640335,0.45782194441141044,0.13372330415607322,0.1028483187060293,0.0,0.0,0.1175409356640335,0.04407785087401255,0.026446710524407533
video_wifi,bg_on_more_intensity,3.003069728348237,0.0,0.4,1.558,0.4550697283482367,0.35,0.0,0.0,0.0,0.15,0.09,0.1331970404230374,0.5188024724477306,0.1515348525052518,0.1165474103701577,0.0,0.0,0.0,0.049948890158639014,0.02996933409518341
shortvideo_highbright,baseline,3.4045721553620023,0.0,0.4,1.843,0.5565721553620026,0.35,0.0,0.0,0.0,0.15,0.105,0.11748906521779055,0.54133086799097,0.16347785564933143,0.10280293206556672,0.0,0.0,0.0,0.04405839945667145,0.030840879619670015
